iter,gen_best_acc,gen_best_n_feats,global_best_acc,global_best_n_feats
1,0.8273615635179153,470,0.8273615635179153,470
2,0.8273615635179153,420,0.8273615635179153,420
3,0.8013029315960912,326,0.8273615635179153,420
4,0.8013029315960912,258,0.8273615635179153,420
5,0.8078175895765473,199,0.8273615635179153,420
6,0.7817589576547231,154,0.8273615635179153,420
7,0.7850162866449512,118,0.8273615635179153,420
8,0.7752442996742671,125,0.8273615635179153,420
9,0.7654723127035831,101,0.8273615635179153,420
10,0.7654723127035831,104,0.8273615635179153,420
11,0.0,74,0.8273615635179153,420
12,0.0,75,0.8273615635179153,420
13,0.0,66,0.8273615635179153,420
14,0.0,73,0.8273615635179153,420
15,0.0,86,0.8273615635179153,420
16,0.0,71,0.8273615635179153,420
17,0.0,90,0.8273615635179153,420
18,0.0,62,0.8273615635179153,420
19,0.0,69,0.8273615635179153,420
20,0.0,69,0.8273615635179153,420
21,0.0,80,0.8273615635179153,420
22,0.0,81,0.8273615635179153,420
23,0.0,66,0.8273615635179153,420
24,0.0,81,0.8273615635179153,420
25,0.0,69,0.8273615635179153,420
26,0.0,92,0.8273615635179153,420
27,0.0,66,0.8273615635179153,420
28,0.0,80,0.8273615635179153,420
29,0.0,67,0.8273615635179153,420
30,0.0,71,0.8273615635179153,420
